# pattern	okipona	truth	rationale	hotwords
f3/p1	wile	本	Pattern Canon & Standard Library -> wile/本: A proven live REPL workflow is the smallest step toward unified Clojure-stack introspection and gives Codex a reliable surface for in-server exploration.	pattern, canon, standard, library, f3, p1, proven, live, repl, workflow
f3/p10	sike	本	System Self-Description & Machine-Readable Manifest -> sike/本: This closes the reflexivity loop: a semantic network that includes a model of itself. FUTON3's pattern checker already validates its own devmap; extending this to describe the full stack enables ongoing self-documentation as the system extends. The machinery from F5 (patterns → schema → code) applies reflexively: the stack itself becomes a domain.	system, self, description, machine, readable, manifest, f3, p10, closes, reflexivity
f3/p2	kepeken	甲	Similarity Field & Fake Embedding -> kepeken/甲: Pattern suggestion quality underpins the flexiformal workflow and must be inspectable.	similarity, field, fake, embedding, f3, p2, pattern, suggestion, quality, underpins
f3/p3	pini	末	Applicability Engine & Check DSL -> pini/末: Turning patterns into executable checks is what makes FUTON3 “flexiformal” rather than just narrative.	applicability, engine, check, dsl, f3, p3, turning, patterns, executable, checks
f3/p4	kin	双	Trail & Proof-State Journal -> kin/双: In Kolmogorov’s sense, a proof is a construction of an object; here, each trail step is a constructive proof step that builds a pattern-typed object whose canonical form is its (fruit, orb) type. Typing steps like “🍌→🔵” lets you distinguish “this is just a check” from “this is an indicator that actually preserves the virtue invariant,” and salience separates merely valid rules from those that are central to your meta-theory in practice.	trail, proof, state, journal, f3, p4, kolmogorov, s, sense, construction
f3/p5	kin	止	Workday Instrumentation & aob-chatgpt Bridge -> kin/止: This is how empowered action (“joy”) becomes measurable proof progress and how role responsibilities stay legible.	workday, instrumentation, aob, chatgpt, bridge, f3, p5, how, empowered, action
f3/p6	luka	已	Pattern Creation Workbench -> luka/已: FUTON3 should not just consume the library; it should propose expansions grounded in lived work while signalling when drafts can be trusted.	pattern, creation, workbench, f3, p6, futon3, just, consume, library, propose
f3/p7	tenpo	力	Joy-as-Empowered-Action Metrics -> tenpo/力: Empowered action is the KPI for this futon.	joy, empowered, action, metrics, f3, p7, kpi, futon, track, time
f3/p8	wawa	二	futon2/futon1 Proof Hooks -> wawa/二: proofs only matter when other futons can act on them automatically.	futon2, futon1, proof, hooks, f3, p8, proofs, only, matter, when
f3/p9	tan	氏	Proof Training Ground ("Flexiformal Agent Sandbox") -> tan/氏: Storytelling plus an explicit training ground turns FUTON3 into a reproducible service that upstream layers (FUTON6, FUTON7) can consume and steward.	proof, training, ground, flexiformal, agent, sandbox, f3, p9, storytelling, plus
f4/p1	ala	久	Arxana Reboot (Week-long target) -> ala/久: A functioning editor is the precondition for all downstream memory work. + status[ready-pending-final-checks]	arxana, reboot, week, long, target, f4, p1, functioning, editor, precondition
f4/p10	sama	未	Corpus Mathematics Layer -> sama/未: This is how FUTON becomes an “AI Scientist.”	corpus, mathematics, layer, f4, p10, how, futon, becomes, ai, scientist
f4/p11	ala	也	Literary Interface (Penmaster) -> ala/也: FUTON becomes the writing environment.	literary, interface, penmaster, f4, p11, futon, becomes, writing, environment, add
f4/p12	pini	末	Year-End Synthesis -> pini/末: This sets the stage for FUTON5+.	year, end, synthesis, f4, p12, sets, stage, futon5, run, full
f4/p2	ala	久	Graph Memory (Datascript) -> ala/久: without a living graph memory, Arxana never escapes editor cosplay.	graph, memory, datascript, f4, p2, without, living, arxana, never, escapes
f4/p3	ala	双	Flexiarg ⇄ Arxana Integration -> ala/双: This yields bidirectional editing: human-readable ↔ machine-structured.	flexiarg, arxana, integration, f4, p3, yields, bidirectional, editing, human, readable
f4/p4	seme	么	Agent Layer Bridge (FUTON3) -> seme/么: This is what upgrades GPT into a pattern-capable agent.	agent, layer, bridge, futon3, f4, p4, what, upgrades, gpt, pattern
f4/p5	open	门	Multi-user Memory (MUSN revival) -> open/门: This will open the door to multi-agent co-reasoning and shared prototyping.	multi, user, memory, musn, revival, f4, p5, open, door, agent
f4/p6	sona	久	Argumentarium / Scholium Mode -> sona/久: This becomes the living mathematical-philosophical substrate.	argumentarium, scholium, mode, f4, p6, becomes, living, mathematical, philosophical, substrate
f4/p7	tenpo	久	XTDB Integration -> tenpo/久: This turns Arxana into a serious memory engine.	xtdb, integration, f4, p7, turns, arxana, serious, memory, engine, rekey
f4/p8	wile	已	Pattern Library Activation -> wile/已: This yields genuine pattern-aware intelligence.	pattern, library, activation, f4, p8, yields, genuine, aware, intelligence, import
f4/p9	ala	叉	StackExchange Import -> ala/叉: seeding the memory with curated Q/A pairs gives Arxana instant argumentative density.	stackexchange, import, f4, p9, seeding, memory, curated, q, pairs, gives
f5/p0	kalama	己	Nonstarter Frame (Concentration without Teleology) -> kalama/己: Without a stable concentrator layer, FUTON4’s tranquility and FUTON6’s argument power cannot synergise.	nonstarter, frame, concentration, without, teleology, f5, p0, stable, concentrator, layer
f5/p1	sin	归	Patterns of Improvisation & Meta-Pattern Formalism -> sin/归: Without a sigil-indexed transformation alphabet, FUTON5 lacks executable concentration mechanics. With it, sigils become active operators—an RNA engine capable of transforming DNA-patterns from FUTON4 into living, improvisable forms.	patterns, improvisation, meta, pattern, formalism, f5, p1, without, sigil, indexed
f5/p10	awen	已	Yearly F5 Review (Concentration Renewal) -> awen/已: Concentration equals aliveness, and aliveness must be renewed.	yearly, f5, review, concentration, renewal, p10, equals, aliveness, renewed, run
f5/p2	sin	习	Concentration Engine (Chops, Not Goals) -> sin/习: Concentration emerges from rhythm, not obligation.	concentration, engine, chops, goals, f5, p2, emerges, rhythm, obligation, establish
f5/p3	toki	世	Pattern Library (Post-Flexiarg) -> toki/世: FUTON5 needs a pattern substrate that can plug directly into FUTON6’s argument logic.	pattern, library, post, flexiarg, f5, p3, futon5, needs, substrate, plug
f5/p4	sike	己	MetaCA as Improvisation Physics -> sike/己: This gives FUTON5 a mathematical “feel” that is embodied, generative, and non-institutional.	metaca, improvisation, physics, f5, p4, gives, futon5, mathematical, feel, embodied
f5/p5	kalama	己	Nonstarter Social Physics -> kalama/己: With a functional Nonstarter economy, FUTON5 becomes spiritually and materially sustainable.	nonstarter, social, physics, f5, p5, functional, economy, futon5, becomes, spiritually
f5/p6	nasin	叉	Improvisation Metrics (Not KPIs) -> nasin/叉: FUTON5 needs feedback, not surveillance.	improvisation, metrics, kpis, f5, p6, futon5, needs, feedback, surveillance, define
f5/p7	seme	么	F4⇄F5⇄F6 Conduction Pathways -> seme/么: Without conduction, the stack fragments instead of concentrating.	f4, f5, f6, conduction, pathways, p7, without, stack, fragments, instead
f5/p8	li	另	Demonstrated Transfer Milestone -> li/另: A key milestone for FUTON5's plausibility is demonstrating that patterns developed in one domain actually transfer to another—not just that they can be written, but that they work.	demonstrated, transfer, milestone, f5, p8, key, futon5, s, plausibility, demonstrating
f5/p9	sin	末	12-Prototype Year (Concentration Arc) -> sin/末: Concentration deepens through cyclical return.	12, prototype, year, concentration, arc, f5, p9, deepens, through, cyclical
f6/p0	monsi	仍	FUTON6 Frame & Charter -> monsi/仍: A charter stabilises FUTON's cascade and prevents scope creep.	futon6, frame, charter, f6, p0, stabilises, futon, s, cascade, prevents
f6/p1	monsi	已	Pattern/Proof Bridge -> monsi/已: This respects the separation of powers (F3 = execution; F6 = habitat).	pattern, proof, bridge, f6, p1, respects, separation, powers, f3, execution
f6/p10	ala	无	Math-Aware Agent Protocol -> ala/无: Math-literate agents are central to HDM-as-habitat.	math, aware, agent, protocol, f6, p10, literate, agents, central, hdm
f6/p11	open	开	Non-Capture Guardrails -> open/开: Commons integrity is crucial for HDM’s long-term survival.	non, capture, guardrails, f6, p11, commons, integrity, crucial, hdm, s
f6/p12	e	小	F6⇄F7 Scenarios -> e/小: Mathematics should feed collective imagination, not remain inert.	f6, f7, scenarios, p12, mathematics, feed, collective, imagination, remain, inert
f6/p13	tan	未	FLEX Training Ground Link -> tan/未: This closes the developmental loop and ensures quality control.	flex, training, ground, link, f6, p13, closes, developmental, loop, ensures
f6/p2	kili	办	Fruits/Orbs as Math-Annotators -> kili/办: It preserves argumentative salience without overextending F6.	fruits, orbs, math, annotators, f6, p2, preserves, argumentative, salience, without
f6/p3	e	小	Hyperreal Dictionary Seedbed -> e/小: A tangible neighbourhood demonstrates HDM’s inhabitable promise.	hyperreal, dictionary, seedbed, f6, p3, tangible, neighbourhood, demonstrates, hdm, s
f6/p4	toki	乃	Layer-3 Reasoning Patterns -> toki/乃: L3 patterns supply the “physics” of mathematical reasoning and make HDM truly traversable.	layer, 3, reasoning, patterns, f6, p4, l3, supply, physics, mathematical
f6/p5	li	今	Layer-4 Domain Patterns -> li/今: L4 patterns provide the local physics that make each mathematical neighbourhood habitable.	layer, 4, domain, patterns, f6, p5, l4, provide, local, physics
f6/p6	sina	田	L3<->L4 Relation Map -> sina/田: A fractal, Alexanderian cascade keeps FUTON6 coherent as it scales.	l3, l4, relation, map, f6, p6, fractal, alexanderian, cascade, keeps
f6/p7	insa	习	HDM Dojo Mode -> insa/习: Mathematical fluency emerges from embodied practice, not passive reading. The dojo keeps HDM alive and ensures that proofs are not just correct but comprehensible—agents constructing proofs gain assurance not just of validity but of teachability.	hdm, dojo, mode, f6, p7, mathematical, fluency, emerges, embodied, practice
f6/p8	ala	无	Scholium & Proof-Landscape Mode -> ala/无: Landscapes differentiate HDM from a static encyclopedia.	scholium, proof, landscape, mode, f6, p8, landscapes, differentiate, hdm, static
f6/p9	toki	匀	Language ⇄ Math Transformations -> toki/匀: Even partial bilingualism greatly improves usability.	language, math, transformations, f6, p9, even, partial, bilingualism, greatly, improves
f7/p0	akesi	田	Naming the Layer (Civic Field of Wisdom) -> akesi/田: Naming the layer clarifies direction: F7 = how the world changes when Futons 0–6 are applied *socially* rather than individually.	naming, layer, civic, field, wisdom, f7, p0, clarifies, direction, how
f7/p1	open	习	Sphere Architecture (Sloterdijk Integration) -> open/习: Civilsation-scale practice begins with sphere-scaping—the deliberate shaping of atmospheres that support distributed wisdom.	sphere, architecture, sloterdijk, integration, f7, p1, civilsation, scale, practice, begins
f7/p2	tenpo	己	Hyperreal Enterprises as Seed Crystal -> tenpo/己: A concrete seed institution anchors F7’s abstractions into lived practice and iterates the world-making in real time.	hyperreal, enterprises, seed, crystal, f7, p2, concrete, institution, anchors, s
f7/p3	monsi	引	Accountability & Traceability Infrastructure -> monsi/引: Genuine assurance requires verifiable accountability. Following the precedent of free software, openness and transparency may prove beneficial in ways we can't yet predict. The goal is infrastructure for accountability, not opposition to any particular actor.	accountability, traceability, infrastructure, f7, p3, genuine, assurance, requires, verifiable, following
f7/p4	kulupu	匀	Civic Equanimity Protocol (Upa-upekkhā at Scale) -> kulupu/匀: Institutions that act with even-minded care are the defining signature of a future civilisation that is neither authoritarian nor chaotic.	civic, equanimity, protocol, upa, upekkh, scale, f7, p4, institutions, act
f7/p5	seme	互	Multi-Sphere Learning Ecosystems -> seme/互: Nomadic civilisations endure by transmitting culture horizontally, not vertically; multi-sphere learning is their engine.	multi, sphere, learning, ecosystems, f7, p5, nomadic, civilisations, endure, transmitting
f7/p6	sewi	业	Economic Nomadism & Post-State Viability -> sewi/业: F7 must be economically real, not merely philosophically interesting.	economic, nomadism, post, state, viability, f7, p6, economically, real, merely
f7/p7	linja	长	Interoperability with State Forms without Capture -> linja/长: Being permeable without becoming captured is essential for long-term autonomy.	interoperability, state, forms, without, capture, f7, p7, being, permeable, becoming
f7/p8	nasin	习	Civilisational Simulations (Nomadic Scenario Work) -> nasin/习: Scenario practice turns abstract philosophy into actionable civic design.	civilisational, simulations, nomadic, scenario, work, f7, p8, practice, turns, abstract
f7/p9	awen	广	Year-End Nomadic Governance Audit -> awen/广: A post-state civilisation must cultivate its own continuous reflective governance ritual—its civic meditation.	year, end, nomadic, governance, audit, f7, p9, post, state, civilisation
fulab/blast-radius	ilo	化	Blast Radius Control -> ilo/化: The template defines the blast-radius record shape needed for future enforcement. - evidence: src/futon3/fulab/pattern_competence.clj - blast-radius-template matches event fields. - evidence: src/futon3/fulab/pattern_competence.clj - blast-radius-template includes :blast/notes for rollback rationale. - evidence-shape: {:session/id :string, :blast/surfaces [:string], :blast/rollback [:string], :blast/detectors [:string], :blast/risk :keyword, :blast/notes :string}	blast, radius, control, fulab, template, defines, record, shape, needed, future
fulab/changelog-trail	pini	才	Changelog-as-Trail -> pini/才: The changelog simulates the architecture and provides a migration path - entries can be backfilled into XTDB once the infrastructure exists. - evidence: src/futon3/fulab/pattern_competence.clj - changelog-entry-template matches trail entry shape. - evidence: src/futon3/fulab/pattern_competence.clj - changelog-entry-template includes :entry/session-id for traceability. - evidence: fulab-changelog.org - active manual trail with clocked-in patterns and session notes. - evidence-shape: {:changelog/file :string, :entry/date :string, :entry/session-id :string, :entry/pattern-id :string, :entry/deps [:string], :entry/artifacts [:string], :entry/summary :string}	changelog, trail, fulab, simulates, architecture, provides, migration, path, entries, backfilled
fulab/clock-in	pini	才	Agent Clock-In -> pini/才: The clock-in event creates a non-optional anchor for the proof path, so later actions can be evaluated against the declared intent. - evidence: src/f2/claude.clj - clock-in-event records :clock-in/session-id for audit linkage. - evidence: src/f2/codex.clj - clock-in-event now includes :clock-in/session-id for audit linkage. - evidence-shape: {:clock-in/pattern-id :string, :clock-in/intent :string, :clock-in/session-id :string, :clock-in/timestamp :inst, :clock-in/context :map}	agent, clock, fulab, event, creates, non, optional, anchor, proof, path
fulab/clock-out	pini	才	Agent Clock-Out -> pini/才: The clock-out event seals the proof path with the minimal complete data needed for audit, replay, and progress tracking. - evidence: src/f2/codex.clj - clock-out-event records :clock-out/session-id for closure linkage. - evidence: src/f2/claude.clj - clock-out-event records :clock-out/session-id for closure linkage. - evidence: src/f2/codex.clj - tool/approved events include :tool/params from pending calls to drive artifact tracking. - evidence: src/f2/claude.clj - tool/approved events include :tool/params from pending calls to drive artifact tracking. - evidence-shape: {:event/session :string, :pattern/primary :string, :clock-out/session-id :string, :pattern/trail [:map], :session/status :keyword, :artifacts [:string], :docs-written [:map], :stats :map, :society-paper :any, :clock-out/timestamp :inst}	agent, clock, out, fulab, event, seals, proof, path, minimal, complete
fulab/devmap-xref	kin	本	Devmap Cross-Reference -> kin/本: The template carries :pattern-ref targets and the HUD already surfaces them when present. - evidence: src/futon3/fulab/pattern_competence.clj - devmap-xref-template captures :pattern-ref targets. - evidence: src/futon3/fulab/pattern_competence.clj - devmap-xref-template adds :devmap-clause for clause linkage. - evidence: src/futon3/fulab/hud.clj - HUD candidates include :pattern-ref in prompt output. - evidence: src/futon3/pattern_hints.clj - library scan extracts @pattern-ref metadata for HUD entries. - evidence-shape: {:fulab-pattern :string, :devmap-prototype :string, :devmap-file :string, :devmap-clause :string}	devmap, cross, reference, fulab, xref, template, carries, pattern, ref, targets
fulab/notebook-cell	linja	亡	Live Notebook Cell -> linja/亡: The template mirrors the intended cell shape and preserves the fields needed for future live capture. - evidence: src/futon3/fulab/pattern_competence.clj - notebook-cell-template mirrors cell evidence shape. - evidence: src/futon3/fulab/pattern_competence.clj - notebook-cell-template adds :cell/sequence for ordering. - evidence-shape: {:session/id :string, :cell/id :string, :cell/sequence :long, :cell/input :string, :cell/output :string, :cell/metadata {:model :string, :cost :map, :latency-ms :long}, :cell/side-effects [:map], :cell/timestamp :inst}	live, notebook, cell, fulab, template, mirrors, intended, shape, preserves, fields
fulab/pattern-dep	kin	才	Pattern Dependency Declaration -> kin/才: Explicit dependencies model the proof path as a DAG, allowing each step's basis to be structurally verified. - evidence: src/f2/claude.clj - record-pattern-use! appends usage to the session trail and emits :pattern/used. - evidence: src/f2/codex.clj - record-pattern-use! appends usage to the session trail and emits :pattern/used. - evidence: src/f2/claude.clj - pattern-used-event supports optional :pattern/parent to declare dependency edges. - evidence: src/f2/claude.clj - pattern-used-event emits :pattern/dep for dependency edges. - evidence: src/f2/codex.clj - record-pattern-use! accepts :parent-id and emits :pattern/parent. - evidence: src/f2/codex.clj - pattern-used-event emits :pattern/dep for dependency edges. - evidence: scripts/proof_commit.clj - pattern-dep summary includes :pattern/channels for audit tagging. - evidence-shape: {:event/session :string, :pattern/id :string, :pattern/dep :string, :pattern/reason :string, :pattern/parent :string, :pattern/channels [:string]}	pattern, dependency, declaration, fulab, dep, explicit, dependencies, model, proof, path
fulab/pattern-propose	kin	了	Agent Pattern Proposal -> kin/了: This closes the loop: patterns guide agent work, and agent work refines patterns. The library stays evidence-led even before full automation. - evidence: src/futon3/fulab/pattern_competence.clj - added pattern-proposal-template for draft proposal structure. - evidence: src/futon3/fulab/pattern_competence.clj - proposal-claim-event emits proposal events. - evidence: src/futon3/fulab/pattern_competence.clj - proposal-claim-event stamps :proposal/claimed-at for review trace. - evidence: src/futon3/fulab/pattern_competence.clj - proposal template includes :proposal/reviewer-notes for review outcomes. - evidence: dev/lab-pattern-claim.clj - proposal claim path enforces supporting trail and status notes. - evidence: fulab-pattern-claim - proposal flags surface the claim flow for shell use. - evidence-shape: {:proposal/id :uuid, :pattern/draft :map, :proposal/supporting-trail [:uuid], :proposal/status :keyword, :proposal/claimed-at :inst}	agent, pattern, proposal, fulab, propose, closes, loop, patterns, guide, work
fulab/proof-commit	kin	双	Proof-Conformant Commit -> kin/双: The template already captures the validation envelope and timestamps it, ready for later enforcement. - evidence: src/futon3/fulab/pattern_competence.clj - proof-commit-template captures validation envelope. - evidence: src/futon3/fulab/pattern_competence.clj - proof-commit-template stamps :commit/checked-at for validation timing. - evidence: scripts/proof_commit.clj - proof-commit validation now writes envelope entries to resources/fulab-proof-commits.edn. - evidence-shape: {:commit/changes :any, :commit/session-id :string, :commit/checked-at :inst, :commit/pattern-trail [:map], :commit/validation {:ok? :boolean, :errors [:map]}}	proof, conformant, commit, fulab, template, already, captures, validation, envelope, timestamps
fulab/session-resume	pini	才	Session Resume -> pini/才: Explicit mapping and ancestor references preserve conversation continuity while keeping audit boundaries clear. - evidence: src/f2/codex.clj - session-started-event records :session/ancestor-id and :session/fucodex-cli-id when provided. - evidence: src/f2/codex.clj - resume-session! stamps :ancestor-id from stored session mapping. - evidence: src/f2/codex.clj - resume-session! stamps :resume/at and :resume/count in opts. - evidence: src/f2/codex.clj - session-started-event includes :resume/at and :resume/count for resumed sessions. - evidence: src/f2/codex.clj - session-started-event records :resume/prompt for resumed sessions. - evidence-shape: {:event/session :string, :session/ancestor-id :string, :session/fucodex-cli-id :string, :resume/prompt :string, :resume/at :inst, :resume/count :long}	session, resume, fulab, explicit, mapping, ancestor, references, preserve, conversation, continuity
fulab/tradeoff-record	ale	化	Trade-off Record -> ale/化: The template defines the decision record shape needed for future enforcement. - evidence: src/futon3/fulab/pattern_competence.clj - tradeoff-record-template captures decision fields. - evidence: src/futon3/fulab/pattern_competence.clj - tradeoff-record-template stamps :decision/recorded-at. - evidence-shape: {:session/id :string, :decision/id :string, :decision/recorded-at :inst, :decision/options [:string], :decision/assumptions [:string], :decision/rationale :string, :decision/reversal-triggers [:string]}	trade, off, record, fulab, tradeoff, template, defines, decision, shape, needed
hdm/bootstrap-kernel	suno	公	HDM - Bootstrap Kernel -> suno/公: HDM cannot wait for full automation; the viable strategy is an evolving kernel that becomes "just good enough" to strengthen itself. Bootstrapping is a permanent mode, not a temporary phase.	hdm, bootstrap, kernel, cannot, wait, full, automation, viable, strategy, evolving
hdm/deep-storage-to-active-graph	ala	乃	HDM - Deep Storage -> Active Graph -> ala/乃: A unified, pattern-indexed graph enables reasoning/learning across boundaries while respecting each project's autonomy and identity.	hdm, deep, storage, active, graph, unified, pattern, indexed, enables, reasoning
hdm/human-machine-dialogue	toki	口	HDM - Human<->Machine Dialogue -> toki/口: Dialogue is already how humans learn/teach mathematics; embedding it in HDM aligns with practice and leverages LLM strengths instead of fighting them.	hdm, human, machine, dialogue, already, how, humans, learn, teach, mathematics
hdm/hyperreal-capital	kama	才	HDM - Hyperreal Capital -> kama/才: Mathematical value lies in what people (and agents) can *do*; HDM should lower the barrier from "reading" to "acting."	hdm, hyperreal, capital, mathematical, value, lies, what, people, agents, do
hdm/non-capture	open	公	HDM - Non-Capture Guardrails -> open/公: Without structural protection, HDM risks becoming another gated service; with guardrails it can stay a backbone for both public and private tooling without being owned.	hdm, non, capture, guardrails, without, structural, protection, risks, becoming, another
hdm/opacity-to-transparency	suno	白	HDM - Opacity -> Transparency -> suno/白: Without transparency, mathematical capital remains locked in institutions and formats; with it, HDM can support equitable access, machine reasoning, and scalable human learning.	hdm, opacity, transparency, without, mathematical, capital, remains, locked, institutions, formats
hdm/outline-first-detail-later	kama	白	HDM - Outline First, Detail Later -> kama/白: Capturing strategy and pattern is often enough to index an argument, relate it to others, and detect gross inconsistencies; detail can be filled in on demand but the skeleton must stay visible.	hdm, outline, first, detail, later, capturing, strategy, pattern, often, enough
hdm/simulation-beats-reality	nasin	门	HDM - Simulation Beats Reality -> nasin/门: Mathematics already lives partly as a hyperreality in imagination; HDM makes that shared and concrete. A carefully designed simulation can support more insight, reuse, and collaboration than fragmented historical storage.	hdm, simulation, beats, reality, mathematics, already, lives, partly, hyperreality, imagination
library-coherence/library-embedding-refresh	sin	归	Sigil Embedding Refresh Ritual -> sin/归: similarity results only earn trust when the embedding reflects the latest canon—otherwise Prototype 2 devolves into hand-waving	sigil, embedding, refresh, ritual, library, coherence, similarity, results, only, earn
library-coherence/library-evidence-ledger	kin	了	Canon Evidence Ledger -> kin/了: a canon without an evidence ledger collapses into lore—dhammavicaya demands that every “ready” claim is backed by published artifacts	canon, evidence, ledger, library, coherence, without, collapses, lore, dhammavicaya, demands
library-coherence/library-readme-sync	sike	本	Canon ↔ README Sync Ritual -> sike/本: the canon exists to keep the public story honest—without README coverage, pattern maturity is impossible to audit	canon, readme, sync, ritual, library, coherence, exists, keep, public, story
library-coherence/library-staleness-scan	wile	习	Canon Staleness Scan -> wile/习: library coherence depends on time—not just content—staying aligned; a regular staleness scan keeps the canon trustworthy for downstream futons	canon, staleness, scan, library, coherence, depends, time, just, content, staying
library-coherence/library-template-discipline	wile	世	Canon Template Discipline -> wile/世: the canon only works when patterns stay machine-readable—template drift makes the check DSL brittle and the README evidence unverifiable	canon, template, discipline, library, coherence, only, works, when, patterns, stay
library-coherence/pattern-differentiation-alarms	kute	习	Pattern Differentiation Alarms -> kute/习: sigils are coordinates in the fake embedding—when they collapse, it signals our pattern library is too coarse for dhammavicaya to stay honest	pattern, differentiation, alarms, library, coherence, sigils, coordinates, fake, embedding, when
meta/designing-thoughts-not-text	kasi	甲	Designing Thoughts, Not Text -> kasi/甲: Thought patterns stay modular and auditable; prose becomes a thin rendering that cannot drift away from the design intent.	designing, thoughts, text, meta, thought, patterns, stay, modular, auditable, prose
meta/layering-design-into-argument	sina	以	Layering Design Into Argument -> sina/以: When prose is downstream of patterns, the argument inherits their clarity and the canon can detect overclaiming.	layering, design, argument, meta, when, prose, downstream, patterns, inherits, clarity
meta/scaffolding-emergent-clarity	tomo	门	Scaffolding Emergent Clarity -> tomo/门: Patterns compress thought into precise, reusable units; recursive use turns undifferentiated conversation into structured design language while keeping this meta-work distinct from downstream funding or delivery governance.	scaffolding, emergent, clarity, meta, patterns, compress, thought, precise, reusable, units
meta/sigil-differentiation	kute	归	Sigil Differentiation Protocol -> kute/归: Sigils are coordinates; when they overlap, dhammavicaya can’t distinguish patterns, so we must either move the coordinate or reshape the terrain.	sigil, differentiation, protocol, meta, sigils, coordinates, when, overlap, dhammavicaya, t
mojo/center	lape	也	Stay with the Crossroads -> lape/也: Orientation comes from felt coherence rather than external validation. Treating each crossroads, large or small, as a site of attention lets you move without forcing a single “right” path.	stay, crossroads, mojo, center, orientation, comes, felt, coherence, rather, than
mojo/down	pali	也	The Toy Becomes the Weapon -> pali/也: Letting go becomes part of the same orientation practice as beginning. By metabolising endings into learning, you reclaim agency and make space for new forms of support to appear.	toy, becomes, weapon, mojo, down, letting, go, part, same, orientation
mojo/east	awen	东	Relate from Wholeness -> awen/东: Relating from wholeness depends less on being approved of and more on how you show up: grounded, honest, and willing to let the connection find its own shape over time.	relate, wholeness, mojo, east, relating, depends, less, being, approved, more
mojo/north	ma	上	Work Furthers Values -> ma/上: When clarity is used as a practical guide rather than an afterthought, work becomes a vehicle for fairness, freedom, and coherence rather than mere activity or performance.	work, furthers, values, mojo, north, when, clarity, used, practical, guide
mojo/south	suno	心	Embodied Reasoning for Wellbeing -> suno/心: Embodied choices set the conditions under which all other choices are made. Treating them as lived crossroads stabilises attention and makes insight and resilience more available.	embodied, reasoning, wellbeing, mojo, south, choices, set, conditions, under, which
mojo/up	ni	云	Co-Readiness -> ni/云: Futures take shape in fields where mutual capacity and tempo are respected. Co-readiness grows when people can adjust to one another’s rhythms rather than being dragged by them.	co, readiness, mojo, up, futures, take, shape, fields, where, mutual
mojo/west	ante	也	Tune the Instrument -> ante/也: Tuning is a form of creative renewal. By treating routines as something you can re-create, you allow life to be periodically recomposed so that it better supports and refreshes you.	tune, instrument, mojo, west, tuning, form, creative, renewal, treating, routines
musn/aif-live-scores	nanpa	计	Live AIF Scores per Move -> nanpa/计: Live AIF signals let the agent trade off exploration vs. exploitation and avoid costly moves.	live, aif, scores, per, move, musn, signals, let, agent, trade
musn/declare-scope			Declare Scope and Exit Condition -> unknown/unknown: Explicit scope anchors decisions and makes pauses and audit logs legible.	declare, scope, exit, condition, musn, explicit, anchors, decisions, makes, pauses
musn/expensive-move-consent	kiwen	允	Consent for Expensive Moves -> kiwen/允: Costs must be visible to avoid invisible wander and user spam.	consent, expensive, moves, musn, move, costs, visible, avoid, invisible, wander
musn/fulab-report-block			FULAB Report Block -> unknown/unknown: Explicit report blocks anchor pattern use records in the log.	fulab, report, block, musn, explicit, blocks, anchor, pattern, use, records
musn/intent-restatement			Intent Restatement -> unknown/unknown: A crisp intent line improves PSR/PUR anchoring and human review.	intent, restatement, musn, crisp, line, improves, psr, pur, anchoring, human
musn/off-trail-brief-log			Brief Off-Trail Logging -> unknown/unknown: Brief reasons preserve auditability without derailing the run.	brief, off, trail, logging, musn, log, reasons, preserve, auditability, without
musn/off-trail-budget	linja	分	Off-Trail Budget -> linja/分: Bounded exploration keeps runs aligned with candidate patterns and scope.	off, trail, budget, musn, bounded, exploration, keeps, runs, aligned, candidate
musn/pattern-action-helper-command			Use Pattern-Action Helper Commands -> unknown/unknown: The helper ensures consistent RPC payloads and audit records.	use, pattern, action, helper, commands, musn, command, ensures, consistent, rpc
musn/pattern-action-justification			Justify Implement/Update Actions -> unknown/unknown: Justified notes prevent unreasoned edits and make warnings meaningful.	justify, implement, update, actions, musn, pattern, action, justification, justified, notes
musn/pattern-action-rpc			Log Pattern Actions via RPC -> unknown/unknown: Structured action logs keep evidence coherent and machine-checkable.	log, pattern, actions, via, rpc, musn, action, structured, logs, keep
musn/pause-backtrace	sike	归	Pause with Backtrace -> sike/归: A pause is a debugger breakpoint; backtrace makes it debuggable.	pause, backtrace, musn, debugger, breakpoint, makes, debuggable, every, include, concise
musn/plan-before-tool	ilo	计	Plan Before Tool Use -> ilo/计: A brief plan keeps trail stats coherent and makes pauses debuggable.	plan, before, tool, use, musn, brief, keeps, trail, stats, coherent
musn/psr-pur-real-actions			PSR/PUR Reflect Real Actions -> unknown/unknown: Action-backed PSR/PUR keep AIF summaries meaningful and reduce noise.	psr, pur, reflect, real, actions, musn, action, backed, keep, aif
musn/read-aif-plus-one			Read AIF Suggestion Plus One -> unknown/unknown: Comparative reads reduce fixation and improve PSR rationale quality.	read, aif, suggestion, plus, one, musn, comparative, reads, reduce, fixation
musn/selection-before-write	nimi	功	Selection Before Implement/Update -> nimi/功: PSR anchors edits to intent, enabling PUR validation and evidence linking.	selection, before, implement, update, musn, write, psr, anchors, edits, intent
musn/tool-name-hygiene			Tool Name Hygiene -> unknown/unknown: Tool hygiene reduces failures and keeps logs consistent.	tool, name, hygiene, musn, reduces, failures, keeps, logs, consistent, do
